slug,cityCode,cityName,table,rate_medical,rate_support,rate_care,rate_childcare,perCapita_medical,perCapita_support,perCapita_care,perCapita_childcare,perCapita_childcare_18plus,household_medical,household_support,household_care,household_childcare
yokohama,14100,横浜市,B_uniform_3method,0.0736,0.0285,0.0247,0.0029,32153,12360,12651,1275,57,20059,7711,6121,791
kawasaki,14130,川崎市,B_uniform_3method,0.0787,0.0285,0.0251,0.0030,34372,12382,12861,1300,54,21444,7725,6222,807
yokosuka,14201,横須賀市,B_uniform_3method,0.0768,0.0287,0.0249,0.0030,33538,12449,12737,1299,76,20924,7766,6162,822
hiratsuka,14203,平塚市,B_uniform_3method,0.0754,0.0285,0.0246,0.0030,32930,12345,12596,1313,65,20544,7702,6094,819
kamakura,14204,鎌倉市,B_uniform_3method,0.0726,0.0285,0.0250,0.0030,31703,12358,12783,1305,68,19778,7710,6184,813
fujisawa,14205,藤沢市,B_uniform_3method,0.0743,0.0288,0.0253,0.0030,32452,12506,12934,1311,75,20246,7802,6258,825
odawara,14206,小田原市,B_uniform_3method,0.0751,0.0284,0.0248,0.0030,32811,12312,12721,1301,63,20470,7681,6154,808
chigasaki,14207,茅ヶ崎市,B_uniform_3method,0.0720,0.0282,0.0245,0.0030,31430,12236,12524,1304,70,19608,7634,6059,816
zushi,14208,逗子市,B_uniform_3method,0.0706,0.0283,0.0248,0.0030,30816,12290,12700,1278,74,19225,7668,6144,805
sagamihara,14150,相模原市,B_uniform_3method,0.0749,0.0284,0.0249,0.0030,32706,12324,12753,1320,70,20404,7689,6170,825
miura,14210,三浦市,B_uniform_3method,0.0755,0.0288,0.0254,0.0031,32965,12497,13011,1312,83,20566,7797,6295,833
hadano,14211,秦野市,B_uniform_3method,0.0721,0.0286,0.0240,0.0030,31479,12418,12290,1325,69,19638,7747,5946,827
atsugi,14212,厚木市,B_uniform_3method,0.0742,0.0290,0.0251,0.0030,32396,12592,12841,1303,77,20211,7856,6213,824
yamato,14213,大和市,B_uniform_3method,0.0734,0.0290,0.0257,0.0031,32054,12584,13151,1341,78,19998,7851,6362,847
isehara,14214,伊勢原市,B_uniform_3method,0.0737,0.0284,0.0249,0.0030,32210,12333,12727,1305,61,20095,7694,6157,809
ebina,14215,海老名市,B_uniform_3method,0.0740,0.0293,0.0257,0.0031,32329,12721,13143,1350,46,20169,7936,6358,844
zama,14216,座間市,B_uniform_3method,0.0801,0.0291,0.0253,0.0031,34974,12640,12977,1358,73,21819,7886,6278,854
minamiashigara,14217,南足柄市,B_uniform_3method,0.0794,0.0293,0.0254,0.0031,34698,12695,12996,1343,68,21647,7920,6287,834
hayama,14301,葉山町,B_uniform_3method,0.0776,0.0290,0.0255,0.0030,33884,12564,13062,1280,97,21139,7838,6319,823
samukawa,14321,寒川町,B_uniform_3method,0.0784,0.0284,0.0250,0.0030,34238,12341,12781,1277,99,21360,7699,6183,821
ayase,14218,綾瀬市,B_uniform_3method,0.0759,0.0289,0.0254,0.0031,33147,12553,13015,1314,99,20679,7832,6297,846
oiso,14341,大磯町,B_uniform_3method,0.0680,0.0279,0.0247,0.0029,29681,12122,12667,1288,53,18517,7563,6128,794
ninomiya,14342,二宮町,B_uniform_3method,0.0761,0.0284,0.0246,0.0030,33246,12337,12609,1321,49,20741,7697,6100,808
nakai,14361,中井町,B_uniform_3method,0.0601,0.0289,0.0250,0.0029,26243,12538,12819,1283,58,16372,7822,6202,792
oi,14362,大井町,B_uniform_3method,0.0585,0.0283,0.0250,0.0029,25536,12259,12786,1251,99,15931,7648,6186,803
matsuda,14363,松田町,B_uniform_3method,0.0597,0.0285,0.0247,0.0029,26057,12364,12621,1290,59,16256,7713,6106,798
yamakita,14364,山北町,B_uniform_3method,0.0724,0.0285,0.0245,0.0029,31601,12372,12535,1290,40,19715,7719,6064,787
kaisei,14366,開成町,B_uniform_3method,0.0720,0.0286,0.0251,0.0029,31452,12391,12871,1276,80,19622,7730,6227,801
hakone,14382,箱根町,B_uniform_3method,0.0671,0.0287,0.0245,0.0029,29326,12433,12564,1306,44,18296,7757,6079,797
manazuru,14383,真鶴町,B_uniform_3method,0.0650,0.0289,0.0241,0.0030,28370,12546,12322,1288,73,17699,7827,5962,811
yugawara,14384,湯河原町,B_uniform_3method,0.0753,0.0284,0.0258,0.0030,32879,12306,13220,1318,53,20512,7677,6396,812
aikawa,14401,愛川町,B_uniform_3method,0.0743,0.0292,0.0257,0.0030,32468,12652,13173,1293,99,20256,7893,6373,828
kiyokawa,14402,清川村,B_uniform_3method,0.0522,0.0295,0.0247,0.0030,22816,12791,12668,1338,49,14234,7980,6129,815
